City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,sinop,41.7711,34.8709,-0.04,91,53,1.11,TR,1706721670
194,praia da vitoria,38.7333,-27.0667,17.64,82,75,3.29,PT,1706721670
195,stanley,54.868,-1.6985,9.33,89,40,13.38,GB,1706721235
196,brokopondo,4.75,-55.1667,30.37,62,98,0.3,SR,1706721671
197,lerwick,60.1545,-1.1494,4.0,70,80,19.75,GB,1706721672
198,douentza,14.9951,-2.9517,31.61,10,51,4.44,ML,1706721672
199,krapivinskiy,54.9992,86.8133,-17.69,100,99,1.48,RU,1706721673
200,novoagansk,61.9449,76.6625,-11.27,93,100,4.94,RU,1706721673
201,souillac,-20.5167,57.5167,28.21,78,40,5.14,MU,1706721674
202,port lincoln,-34.7333,135.8667,15.98,85,0,4.27,AU,1706721623
203,cumbal,0.9088,-77.7915,17.6,59,75,5.66,CO,1706721675
204,san jeronimo,-11.9472,-75.2829,15.89,62,100,2.01,PE,1706721675
205,kapuskasing,49.4169,-82.4331,2.05,87,100,5.66,CA,1706721676
206,kannur,11.8675,75.3576,24.3,80,25,2.43,IN,1706721676
207,ngama,11.7833,17.1667,28.34,14,1,4.7,TD,1706721677
208,nhamunda,-2.1861,-56.7131,35.1,44,87,1.79,BR,1706721677
209,libenge,3.65,18.6333,30.44,26,100,0.41,CD,1706721678
210,akureyri,65.6835,-18.0878,-1.04,51,40,4.63,IS,1706721678
211,abu jibeha,11.4562,31.2285,26.02,12,83,4.39,SD,1706721679
212,kijang,35.2442,129.2139,6.85,80,100,1.24,KR,1706721680
213,sur,22.5667,59.5289,24.16,69,96,0.77,OM,1706721680
214,mirnyy,62.5353,113.9611,-33.16,100,60,1.17,RU,1706721681
215,nova sintra,14.8667,-24.7167,20.96,62,0,6.45,CV,1706721296
216,la passe,45.5549,-0.8967,15.13,83,6,2.13,FR,1706721682
217,grajau,-5.8194,-46.1386,32.31,55,98,1.28,BR,1706721683
218,columbia,34.0007,-81.0348,10.28,79,100,4.63,US,1706721521
219,remire-montjoly,4.9167,-52.2667,30.02,66,100,8.23,GF,1706721684
220,susuman,62.7833,148.1667,-28.9,98,100,1.34,RU,1706721212
221,lompoc,34.6391,-120.4579,17.66,66,0,2.68,US,1706721685
222,nar'yan-mar,67.6713,53.087,0.06,93,100,9.39,RU,1706721686
223,aykhal,66.0,111.5,-25.09,100,96,1.82,RU,1706721286
224,afaahiti,-17.75,-149.2833,26.93,81,97,4.99,PF,1706721272
225,adrar,20.5022,-10.0711,26.82,8,0,6.01,MR,1706721687
226,cantanhede,-3.6333,-44.3767,28.77,78,94,1.42,BR,1706721688
227,bataipora,-22.2953,-53.2711,36.92,22,19,1.17,BR,1706721689
228,guajara mirim,-10.7828,-65.3394,27.09,89,75,3.09,BR,1706721689
229,igarka,67.4667,86.5833,-23.59,77,45,5.04,RU,1706721690
230,aksu,41.1231,80.2644,-3.32,92,100,0.47,CN,1706721691
231,elko,41.0002,-115.5012,4.57,86,3,1.34,US,1706721691
232,necochea,-38.5473,-58.7368,33.78,32,2,5.8,AR,1706721692
233,altay,47.8667,88.1167,-11.29,75,100,1.81,CN,1706721693
234,midvagur,62.0511,-7.1939,3.46,56,75,16.98,FO,1706721094
235,fale old settlement,-9.3852,-171.2468,29.5,67,100,2.53,TK,1706721176
236,rock springs,41.5875,-109.2029,-3.31,95,100,0.0,US,1706721694
237,cockburn town,21.4612,-71.1419,23.39,59,100,1.61,TC,1706721292
238,tyukhtet,56.5389,89.3011,-22.41,98,56,1.71,RU,1706721695
239,qaqortoq,60.7167,-46.0333,-0.51,98,100,9.3,GL,1706721268
240,magadan,59.5667,150.8,-24.18,83,100,3.06,RU,1706721696
241,ovruch,51.3246,28.8035,0.2,84,98,3.53,UA,1706721696
242,lionel town,17.8101,-77.2406,28.83,56,4,2.74,JM,1706721121
243,laguna,38.421,-121.4238,16.16,73,0,2.06,US,1706721697
244,guatrache,-37.6678,-63.5302,39.41,17,10,4.18,AR,1706721698
245,semnan,35.5729,53.3971,4.01,56,42,0.17,IR,1706721698
246,ulsteinvik,62.3432,5.8487,6.28,77,100,16.54,NO,1706721699
247,beolgyo,34.8449,127.3429,7.7,77,100,1.76,KR,1706721699
248,kiruna,67.8557,20.2251,-0.49,80,0,10.8,SE,1706721700
249,alice springs,-23.7,133.8833,26.79,20,32,4.12,AU,1706721120
250,flying fish cove,-10.4217,105.6791,25.82,94,75,0.0,CX,1706721265
251,iskateley,67.6803,53.1512,0.01,93,100,9.39,RU,1706721326
252,utrik,11.2278,169.8474,25.84,86,100,9.74,MH,1706721263
253,saldanha,-33.0117,17.9442,23.03,87,99,9.89,ZA,1706721702
254,usogorsk,63.4106,48.6872,-4.63,95,79,3.51,RU,1706721702
255,luena,-11.7833,19.9167,19.54,90,94,2.69,AO,1706721703
256,vytegra,61.0064,36.4481,0.2,98,100,3.58,RU,1706721703
257,cabo san lucas,22.8909,-109.9124,28.17,41,0,4.12,MX,1706721248
258,san fernando del valle de catamarca,-28.4696,-65.7852,38.21,29,5,3.58,AR,1706721647
259,fort-shevchenko,44.5086,50.263,-0.38,85,91,3.92,KZ,1706721704
260,kodinsk,58.6881,99.1844,-29.2,100,30,1.11,RU,1706721705
261,tazovsky,67.4667,78.7,-25.78,98,11,4.44,RU,1706721705
262,santiago,-33.4569,-70.6483,36.83,20,0,5.14,CL,1706721614
263,akrehamn,59.2667,5.1833,7.45,87,75,18.52,NO,1706721706
264,brisas de zicatela,15.8369,-97.0419,28.29,69,0,3.09,MX,1706721707
265,abbeville,50.1,1.8333,8.05,85,51,3.93,FR,1706721707
266,rikaze,29.25,88.8833,-2.52,36,25,2.2,CN,1706721707
267,alvorada,-12.48,-49.1247,31.47,59,95,1.29,BR,1706721708
268,sakleshpur,12.9667,75.7833,16.64,86,32,1.72,IN,1706721708
269,strezhevoy,60.7333,77.5889,-11.13,94,100,4.47,RU,1706721709
270,mahina,-17.5065,-149.489,28.32,78,100,4.45,PF,1706721709
271,vila franca do campo,37.7167,-25.4333,18.27,99,39,2.21,PT,1706721710
272,tlacotepec,20.0667,-97.8667,16.26,68,99,2.75,MX,1706721710
273,melito di porto salvo,37.9222,15.7714,13.31,62,20,4.12,IT,1706721710
274,san andres,12.5847,-81.7006,26.0,77,72,9.78,CO,1706721454
275,tionk essil,12.7856,-16.5217,34.03,11,99,2.32,SN,1706721711
276,rabo de peixe,37.8,-25.5833,17.77,99,75,4.12,PT,1706721712
277,la ronge,55.1001,-105.2842,4.14,65,40,5.14,CA,1706721309
278,mejit,10.2753,170.8646,26.69,83,98,6.07,MH,1706721713
279,gadzhiyevo,69.2551,33.3362,-3.4,92,100,5.5,RU,1706721713
280,puerto san jose,13.9256,-90.8244,30.37,38,1,2.95,GT,1706721713
281,urzhar,47.093,81.6294,-5.79,97,100,1.12,KZ,1706721623
282,beas de segura,38.2524,-2.8888,15.49,46,3,1.0,ES,1706721714
283,broken hill,-31.95,141.4333,19.58,33,0,5.86,AU,1706721715
284,labytnangi,66.6572,66.4183,-21.87,100,100,0.47,RU,1706721715
285,berdigestyakh,62.0989,126.6992,-29.27,97,100,2.13,RU,1706721716
286,sinabang,2.4803,96.3801,27.31,80,86,1.37,ID,1706721716
287,tokar,18.4254,37.729,23.21,59,39,4.07,SD,1706721716
288,aguie,13.506,7.7786,27.66,14,3,5.94,NE,1706721717
289,graham,47.0529,-122.2943,12.87,93,100,0.89,US,1706721717
290,zunyi,27.6867,106.9072,7.92,95,98,1.37,CN,1706721718
291,cumanayagua,22.1494,-80.2022,23.23,43,23,2.42,CU,1706721466
292,grand forks,47.9417,-97.4337,6.96,68,75,4.12,US,1706721719
293,usinsk,65.9939,57.5281,-8.29,95,100,7.6,RU,1706721719
294,key west,24.5557,-81.7826,22.0,58,40,6.17,US,1706721569
295,vredendal,-31.6683,18.5012,26.76,44,0,9.23,ZA,1706721720
296,iskushuban,10.2837,50.23,22.8,67,83,4.71,SO,1706721720
297,los altos,37.3852,-122.1141,16.44,70,75,9.26,US,1706721721
298,senador jose porfirio,-2.5908,-51.9542,30.59,63,86,2.09,BR,1706721721
299,tual,-5.6667,132.75,28.85,77,47,8.2,ID,1706721722
300,alofi,-19.0595,-169.9187,27.25,84,100,5.71,NU,1706721317
301,mandan,46.8267,-100.8896,8.86,79,0,0.45,US,1706721722
302,pionerskiy,54.9508,20.2275,3.91,87,71,10.3,RU,1706721723
303,katabu,-4.9333,122.5167,25.67,87,98,1.58,ID,1706721724
304,broome,42.2506,-75.833,2.89,84,100,3.09,US,1706721660
305,viedma,-40.8135,-62.9967,34.41,28,35,4.05,AR,1706721629
306,margaret river,-33.95,115.0667,17.73,80,1,3.87,AU,1706721222
307,tsiombe,-25.3,45.4833,23.43,81,75,7.95,MG,1706721726
308,ambovombe,-25.1667,46.0833,23.34,84,89,9.16,MG,1706721726
309,northam,51.0333,-4.2167,11.88,93,100,9.93,GB,1706721727
310,sambava,-14.2667,50.1667,26.4,86,31,3.84,MG,1706721727
311,iquique,-20.2208,-70.1431,23.02,68,90,2.08,CL,1706721728
312,ashburton,-37.8626,145.0794,17.57,77,74,0.45,AU,1706721728
313,yuzhno-kurilsk,44.0306,145.8556,-2.01,71,100,5.67,RU,1706721213
314,olyokminsk,60.3736,120.4264,-23.98,99,100,1.51,RU,1706721729
315,matnog,12.5878,124.0875,24.98,85,100,5.78,PH,1706721730
316,keflavik,64.0049,-22.5624,0.95,80,75,18.52,IS,1706721731
317,shimoda,34.6667,138.95,12.84,92,99,8.07,JP,1706721731
318,kinablangan,7.6947,126.5503,25.13,96,100,3.43,PH,1706721732
319,kill devil hills,36.0307,-75.676,10.0,85,100,6.69,US,1706721596
320,linxia chengguanzhen,35.6003,103.2064,-3.01,66,37,0.96,CN,1706721733
321,'ain el turk,35.7438,-0.7693,16.5,67,40,5.14,DZ,1706721733
322,tecolots,32.5667,-114.9833,18.61,36,14,2.98,MX,1706721734
323,madinat ash shamal,26.1293,51.2009,20.71,70,88,3.75,QA,1706721735
324,kapa'a,22.0752,-159.319,21.18,88,75,2.06,US,1706721735
325,sferracavallo,42.726,12.0956,9.99,71,34,0.25,IT,1706721736
326,malango,-2.9627,119.9001,20.67,98,100,0.51,ID,1706721737
327,jiangyou,31.7667,104.7167,7.32,76,100,0.67,CN,1706721737
328,zarand,30.8127,56.564,6.42,45,1,2.31,IR,1706721738
329,funafuti,-8.5243,179.1942,25.0,100,100,2.06,TV,1706721739
330,taulaga,-11.0553,-171.0883,29.09,70,97,2.85,AS,1706721739
331,bakchar,57.0186,82.0711,-17.76,99,95,1.71,RU,1706721740
